"","Neighborhood","Airbnb","Date","City","ZRI","ZRI_City"
"147","Columbia Street Waterfront District.(New York)",0,2016-10-01,"New York, NY",2819,2384
"148","Columbia Street Waterfront District.(New York)",0,2016-09-01,"New York, NY",2839,2387
"149","Columbia Street Waterfront District.(New York)",0,2016-08-01,"New York, NY",2854,2396
"150","Columbia Street Waterfront District.(New York)",0,2016-07-01,"New York, NY",2869,2407
"151","Columbia Street Waterfront District.(New York)",0,2016-06-01,"New York, NY",2878,2415
"152","Columbia Street Waterfront District.(New York)",0,2016-05-01,"New York, NY",2882,2419
"153","Columbia Street Waterfront District.(New York)",0,2016-04-01,"New York, NY",2882,2421
"154","Columbia Street Waterfront District.(New York)",0,2016-03-01,"New York, NY",2872,2418
"155","Columbia Street Waterfront District.(New York)",0,2016-02-01,"New York, NY",2872,2409
"156","Columbia Street Waterfront District.(New York)",0,2016-01-01,"New York, NY",2868,2399
"157","Forest Hills Gardens.(New York)",0,2016-12-01,"New York, NY",2618,2392
"158","Forest Hills Gardens.(New York)",0,2016-11-01,"New York, NY",2623,2388
"159","Forest Hills Gardens.(New York)",0,2016-10-01,"New York, NY",2573,2384
"160","Forest Hills Gardens.(New York)",0,2016-09-01,"New York, NY",2542,2387
"161","Forest Hills Gardens.(New York)",0,2016-08-01,"New York, NY",2526,2396
"162","Forest Hills Gardens.(New York)",0,2016-07-01,"New York, NY",2523,2407
"163","Forest Hills Gardens.(New York)",0,2016-06-01,"New York, NY",2529,2415
"164","Forest Hills Gardens.(New York)",0,2016-05-01,"New York, NY",2536,2419
"165","Forest Hills Gardens.(New York)",0,2016-04-01,"New York, NY",2561,2421
"166","Forest Hills Gardens.(New York)",0,2016-03-01,"New York, NY",2584,2418
"167","Forest Hills Gardens.(New York)",0,2016-02-01,"New York, NY",2581,2409
"168","Forest Hills Gardens.(New York)",0,2016-01-01,"New York, NY",2572,2399
"169","City Island.(New York)",9,2016-12-01,"New York, NY",1845,2392
"170","City Island.(New York)",9,2016-11-01,"New York, NY",1862,2388
"171","City Island.(New York)",9,2016-10-01,"New York, NY",1881,2384
"172","City Island.(New York)",9,2016-09-01,"New York, NY",1900,2387
"173","City Island.(New York)",9,2016-08-01,"New York, NY",1907,2396
"174","City Island.(New York)",9,2016-07-01,"New York, NY",1902,2407
"175","City Island.(New York)",9,2016-06-01,"New York, NY",1877,2415
"176","City Island.(New York)",9,2016-05-01,"New York, NY",1864,2419
"177","City Island.(New York)",9,2016-04-01,"New York, NY",1867,2421
"178","City Island.(New York)",9,2016-03-01,"New York, NY",1881,2418
"179","City Island.(New York)",9,2016-02-01,"New York, NY",1877,2409
"180","City Island.(New York)",8,2016-01-01,"New York, NY",1873,2399
"181","Bergen Beach.(New York)",2,2016-12-01,"New York, NY",2331,2392
"182","Bergen Beach.(New York)",2,2016-11-01,"New York, NY",2323,2388
"183","Bergen Beach.(New York)",2,2016-10-01,"New York, NY",2317,2384
"184","Bergen Beach.(New York)",2,2016-09-01,"New York, NY",2310,2387
"185","Bergen Beach.(New York)",2,2016-08-01,"New York, NY",2318,2396
"186","Bergen Beach.(New York)",2,2016-07-01,"New York, NY",2320,2407
"187","Bergen Beach.(New York)",2,2016-06-01,"New York, NY",2321,2415
"188","Bergen Beach.(New York)",2,2016-05-01,"New York, NY",2296,2419
"189","Bergen Beach.(New York)",1,2016-04-01,"New York, NY",2276,2421
"190","Bergen Beach.(New York)",1,2016-03-01,"New York, NY",2259,2418
"191","Bergen Beach.(New York)",1,2016-02-01,"New York, NY",2260,2409
"192","Bergen Beach.(New York)",1,2016-01-01,"New York, NY",2253,2399
"193","Dongan Hills.(New York)",2,2016-12-01,"New York, NY",2092,2392
"194","Dongan Hills.(New York)",2,2016-11-01,"New York, NY",2099,2388
"195","Dongan Hills.(New York)",2,2016-10-01,"New York, NY",2107,2384
"196","Dongan Hills.(New York)",2,2016-09-01,"New York, NY",2116,2387
"197","Dongan Hills.(New York)",2,2016-08-01,"New York, NY",2125,2396
"198","Dongan Hills.(New York)",2,2016-07-01,"New York, NY",2128,2407
"199","Dongan Hills.(New York)",2,2016-06-01,"New York, NY",2123,2415
"200","Dongan Hills.(New York)",2,2016-05-01,"New York, NY",2118,2419
