"","Johnston Terrace","Chestnut","Barton Creek","Southeast","RMMA","West Congress","Dawson","Mckinney","East Cesar Chavez","Holly","Coronado Hills","West Gate","East Congress","Galindo","Hancock","MLK","North Shoal Creek","Central East Austin","North University","Highland","Crestview","Rosewood","Upper Boggy Creek","Govalle","Zilker","Old West Austin","University Hills","North Loop","Pecan Springs Springdale","Wooten","Sweet Briar","Windsor Hills","Windsor Road","Rosedale","Hyde Park","Bouldin","Downtown","Heritage Hills","North Lamar","South River City","South Manchaca","South Lamar","Brentwood","MLK 183","Allandale","Barton Hills","St. Johns","Georgian Acres","Parker Lane","Wells Branch","Montopolis","Garrison Park","East Oak Hill","Riverside","West Oak Hill","Pleasant Valley","West University","Windsor Park","Franklin Park","North Austin","date"
"11",0,0,0,0,0,3,8,0,0,16,0,0,4,12,10,0,0,0,0,5,2,16,5,7,34,20,1,4,0,4,0,2,0,3,11,0,8,0,0,0,9,12,9,0,0,33,3,0,6,0,1,0,0,0,0,2,0,8,0,0,1:76
"12",0,0,0,0,0,5,8,0,0,19,0,0,4,12,10,0,0,0,0,5,2,17,7,7,39,20,1,4,0,4,0,2,0,3,13,0,8,0,0,0,9,13,10,0,0,34,3,0,6,0,1,0,0,0,0,2,0,10,0,0,1:76
"13",0,0,0,0,0,6,9,0,0,24,0,0,4,12,10,0,0,0,0,5,2,17,7,7,42,20,1,4,0,4,0,2,0,3,14,0,8,0,0,0,9,13,10,0,0,35,3,0,6,0,1,0,0,0,0,2,0,11,0,0,1:76
"14",0,0,0,0,0,6,9,0,0,26,0,0,4,12,10,0,0,0,0,5,2,17,7,7,46,20,1,6,0,4,0,2,0,3,14,0,8,0,0,0,9,13,10,0,0,35,12,0,7,0,1,0,0,0,0,2,0,11,0,0,1:76
"15",0,0,0,0,0,6,9,0,0,26,0,0,4,14,12,0,0,0,0,5,2,18,8,7,50,22,1,6,0,4,0,3,0,3,16,0,9,0,0,0,9,14,11,0,0,38,12,0,9,0,1,0,0,0,0,2,0,11,0,0,1:76
"16",0,0,0,0,0,7,11,0,0,28,0,0,19,14,15,0,0,0,0,5,2,21,9,8,51,25,1,7,0,5,0,3,0,4,17,0,14,0,0,0,11,16,16,0,0,39,12,1,10,0,1,0,0,0,0,2,0,11,0,0,1:76
"17",0,0,1,0,0,9,15,0,0,36,0,0,19,15,21,0,0,0,0,6,2,28,12,11,61,28,1,8,0,6,0,3,0,4,17,0,24,0,0,0,13,22,19,0,0,48,13,1,13,0,1,0,0,0,0,3,0,14,0,0,1:76
"18",0,0,1,0,0,9,16,0,0,39,0,0,19,16,21,0,0,0,0,6,2,33,13,14,61,31,1,8,0,6,0,3,0,5,18,0,27,0,0,0,14,25,19,0,0,51,13,1,16,0,1,0,0,0,0,3,0,14,0,0,1:76
"19",0,0,1,0,0,9,16,0,0,40,0,0,19,17,21,0,0,0,0,8,2,34,15,14,64,37,1,9,0,6,0,3,0,8,20,0,28,0,0,0,14,28,19,0,0,53,13,1,16,0,1,0,0,0,0,4,0,14,0,0,1:76
"20",0,0,1,0,0,10,16,0,0,43,0,0,19,17,21,0,0,0,0,8,2,37,15,14,68,38,1,12,0,6,0,3,0,8,21,0,29,0,0,0,14,28,21,0,0,58,13,1,19,0,6,0,0,0,0,5,0,15,0,0,1:76
"21",0,0,1,0,0,10,16,0,0,43,0,0,20,19,21,0,0,0,0,9,4,41,15,14,72,38,1,12,0,6,0,3,0,10,21,0,30,0,0,0,16,31,21,0,0,58,13,1,21,0,9,0,0,0,0,6,0,16,0,0,1:76
"22",0,0,1,0,0,12,16,0,0,47,0,0,21,22,23,0,0,0,0,9,4,42,17,14,75,44,1,12,0,6,0,3,0,11,25,0,33,0,0,0,17,32,21,0,0,60,13,1,21,0,9,0,0,0,0,6,0,17,0,0,1:76
"23",0,0,2,0,0,12,17,0,0,50,0,0,21,24,25,0,0,0,0,9,4,43,19,15,79,46,1,12,0,6,0,3,0,12,26,0,44,0,0,0,17,34,22,0,0,65,13,2,24,0,10,0,0,0,0,6,0,21,0,0,1:76
"24",0,0,3,0,0,14,19,0,0,55,0,0,22,25,25,0,1,0,0,11,4,47,19,17,80,48,1,12,0,6,0,3,0,15,27,0,47,0,0,0,20,39,23,0,0,68,13,2,25,0,10,0,0,0,0,7,0,21,0,0,1:76
"25",0,0,4,0,0,14,20,0,0,57,0,0,22,27,26,0,1,0,0,11,5,48,19,18,85,50,1,13,0,6,0,3,0,16,28,0,47,0,0,0,21,43,23,0,0,73,13,2,25,0,10,0,0,0,0,7,0,21,0,0,1:76
"26",0,0,4,0,0,14,28,0,0,59,0,0,22,27,26,0,1,0,0,11,5,48,19,18,86,52,1,14,0,6,0,3,0,16,28,0,47,0,0,0,22,47,23,0,0,80,13,2,26,0,11,0,0,0,0,8,0,22,0,0,1:76
"27",0,0,4,0,0,14,29,0,0,62,0,0,22,28,26,0,1,0,0,11,5,48,20,19,89,52,1,14,0,6,0,3,0,16,28,0,51,0,0,0,23,47,23,0,0,81,13,2,26,0,13,0,0,0,0,8,0,23,0,0,1:76
"28",0,0,5,0,0,14,32,0,0,69,0,0,23,32,31,0,2,0,0,15,5,51,22,19,107,59,1,15,0,6,0,3,0,16,28,0,73,0,0,0,23,54,25,0,0,84,13,2,26,0,13,0,0,0,0,8,0,26,0,0,1:76
"29",0,0,5,0,0,14,34,0,0,74,0,0,23,35,34,0,4,0,0,16,6,60,25,20,120,68,2,16,0,6,0,3,0,16,32,0,76,0,0,0,26,64,27,0,0,87,13,2,27,0,13,0,0,0,0,10,0,31,0,0,1:76
