"","Bay Village","Downtown","West End","Chinatown","Beacon Hill","North End","Mission Hill","Kenmore","Charlestown","Back Bay","Fenway","Allston","North Dorchester","South End","West Roxbury","Roslindale","Hyde Park","South Boston","Mattapan","Brighton","Jamaica Plain","East Boston","Roxbury","South Dorchester","date"
"X2014.09"," 10"," 98"," 21"," 29"," 90"," 78"," 58","  0"," 62","160","110","122","  0","174"," 20"," 38"," 13"," 84"," 10"," 73","226"," 74"," 97","  0","X2014.09"
"X2014.10"," 12","104"," 21"," 29","102"," 84"," 58","  0"," 68","173","117","124","  0","179"," 21"," 38"," 13"," 91"," 10"," 74","232"," 74"," 97","  0","X2014.10"
"X2014.11"," 13","109"," 22"," 33","114"," 86"," 59","  0"," 71","189","126","127","  0","211"," 22"," 39"," 13"," 94"," 11"," 77","237"," 79"," 98","  0","X2014.11"
"X2014.12"," 13","110"," 23"," 33","116"," 88"," 59","  0"," 72","191","130","128","  0","214"," 23"," 39"," 13"," 99"," 11"," 84","240"," 84"," 99","  0","X2014.12"
"X2015.01"," 14","111"," 24"," 33","117"," 92"," 63","  0"," 73","197","133","138","  0","215"," 23"," 39"," 13","100"," 11"," 85","246"," 85"," 99","  0","X2015.01"
"X2015.02"," 15","117"," 24"," 33","121"," 94"," 63","  0"," 74","200","136","148","  0","220"," 23"," 39"," 13","115"," 11","103","250"," 93","101","  0","X2015.02"
"X2015.03"," 16","121"," 24"," 33","129"," 95"," 63","  0"," 77","203","140","151","  0","221"," 24"," 41"," 15","119"," 13","107","255"," 93","101","  0","X2015.03"
"X2015.04"," 17","128"," 43"," 57","133"," 98"," 74","  0"," 81","217","197","158","  0","227"," 26"," 42"," 15","122"," 13","112","262"," 99","109","  0","X2015.04"
"X2015.05"," 18","133"," 43"," 59","136","100"," 78","  0"," 82","222","203","180","  0","230"," 26"," 43"," 15","125"," 13","115","269","101","113","  0","X2015.05"
"X2015.06"," 18","134"," 43"," 60","140","102"," 82","  0"," 83","232","214","184","  0","244"," 27"," 46"," 16","131"," 13","120","273","102","114","  0","X2015.06"
"X2015.07"," 18","135"," 45"," 61","146","107"," 84","  0"," 87","238","218","190","  0","252"," 27"," 47"," 17","136"," 13","126","280","102","115","  0","X2015.07"
"X2015.08"," 18","138"," 45"," 63","148","110"," 85","  0"," 92","243","221","196","  0","262"," 27"," 47"," 17","139"," 13","129","287","107","117","  0","X2015.08"
"X2015.09"," 19","141"," 46"," 63","154","113"," 90","  0"," 95","248","228","204","  0","265"," 28"," 48"," 21","142"," 14","130","289","118","123","  0","X2015.09"
"X2015.10"," 19","147"," 47"," 63","158","116"," 92","  0"," 95","251","232","208","  0","275"," 33"," 49"," 23","142"," 14","135","292","121","125","  0","X2015.10"
"X2015.11"," 19","152"," 47"," 64","166","118"," 94","  0"," 96","256","240","211","  0","286"," 33"," 50"," 23","142"," 17","137","300","125","129","  0","X2015.11"
"X2015.12"," 19","154"," 47"," 64","171","120"," 94","  0"," 98","263","245","221","  0","291"," 34"," 50"," 24","144"," 17","140","311","128","133","  0","X2015.12"
"X2016.01"," 19","154"," 47"," 64","176","123"," 95","  0"," 98","274","252","230","  0","300"," 36"," 50"," 25","147"," 20","144","316","131","134","  0","X2016.01"
"X2016.02"," 20","159"," 48"," 64","179","125"," 97","  0"," 98","276","253","234","  0","304"," 38"," 50"," 25","154"," 20","147","318","132","135","  0","X2016.02"
"X2016.03"," 20","160"," 48"," 65","182","125"," 99","  0","100","278","256","235","  0","304"," 38"," 51"," 26","156"," 20","151","319","135","135","  0","X2016.03"
"X2016.04"," 20","160"," 48"," 65","184","126","102","  0","101","282","256","237","  0","308"," 39"," 53"," 26","160"," 20","153","321","136","138","  0","X2016.04"
"X2016.05"," 21","161"," 48"," 65","184","136","114","  0","102","286","260","245","  0","311"," 42"," 54"," 26","165"," 22","158","329","139","140","  0","X2016.05"
"X2016.06"," 23","164"," 48"," 66","184","137","116","  0","105","292","271","246","  0","315"," 42"," 55"," 29","170"," 22","164","334","140","141","  0","X2016.06"
"X2016.07"," 23","164"," 48"," 66","187","142","118","  0","107","294","276","255","  0","320"," 43"," 55"," 29","170"," 22","172","340","143","144","  0","X2016.07"
"X2016.08"," 23","170"," 48"," 69","191","143","122","  0","108","299","282","257","  0","322"," 44"," 56"," 30","171"," 22","177","340","147","144","  0","X2016.08"
"X2016.09"," 24","172"," 49"," 70","194","143","124","  0","110","302","290","260","  0","325"," 46"," 56"," 31","174"," 24","183","342","149","144","  0","X2016.09"
"X2016.10"," 24","172"," 49"," 71","194","143","124","  0","111","302","290","260","  0","326"," 46"," 56"," 31","174"," 24","185","343","150","144","  0","X2016.10"
"X2016.11"," 24","172"," 49"," 71","194","143","124","  0","111","302","290","260","  0","326"," 46"," 56"," 31","174"," 24","185","343","150","144","  0","X2016.11"
"X2016.12"," 24","172"," 49"," 71","194","143","124","  0","111","302","290","260","  0","326"," 46"," 56"," 31","174"," 24","185","343","150","144","  0","X2016.12"
"X2017.01"," 24","172"," 49"," 71","194","143","124","  0","111","302","290","260","  0","326"," 46"," 56"," 31","174"," 24","185","343","150","144","  0","X2017.01"
"X2017.02"," 24","172"," 49"," 71","194","143","124","  0","111","302","290","260","  0","326"," 46"," 56"," 31","174"," 24","185","343","150","144","  0","X2017.02"
